"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU4534",26,9.452,6,13,"Generalists"
"OTU1108",18,5.178,3,8,"Generalists"
"OTU310",50,28.446,22,35,"Generalists"
"OTU2207",1,11.046,7,16,"Specialists"
"OTU1006",11,16.986,12,22,"Specialists"
"OTU3967",3,2.868,1,5,"NS"
"OTU180",5,2.11,1,4,"Generalists"
"OTU2140",10,4.07,2,7,"Generalists"
"OTU4588",11,4.674,2,7,"Generalists"
"OTU621",1,1.932,1,3,"NS"
"OTU5074",4,3.372,1.475,6,"NS"
"OTU140",6,2.416,1,4,"Generalists"
"OTU707",7,12.76,8,17,"Specialists"
"OTU784",8,4.388,2,7,"Generalists"
"OTU650",3,1.736,1,3,"NS"
"OTU3915",12,3.23,2,5,"Generalists"
"OTU10256",3,1.942,1,3,"NS"
"OTU11691",2,8.692,5,12,"Specialists"
"OTU132",5,2.534,1,4,"Generalists"
"OTU1697",2,3.736,2,6,"NS"
"OTU5826",4,1.972,1,3,"Generalists"
"OTU1027",6,7.648,4.475,11,"NS"
"OTU3674",12,5.234,3,8,"Generalists"
"OTU311",43,32.498,26,39.525,"Generalists"
"OTU2629",3,1.728,1,3,"NS"
"OTU3725",10,4.408,2,7,"Generalists"
"OTU246",8,3.194,1,5,"Generalists"
"OTU1950",14,6.132,3,9,"Generalists"
"OTU285",3,1.732,1,3,"NS"
"OTU3336",4,3.396,2,6,"NS"
"OTU8770",1,1.476,1,2,"NS"
"OTU1378",4,9.26,6,13,"Specialists"
"OTU3562",7,6.636,4,10,"NS"
"OTU218",4,44.12,37.475,51,"Specialists"
"OTU1897",3,6.464,4,10,"Specialists"
"OTU111",4,17.48,12,23,"Specialists"
"OTU1967",1,1.736,1,3,"NS"
"OTU557",18,11.558,7.475,16,"Generalists"
"OTU2958",2,2.778,1,5,"NS"
"OTU7003",1,1.756,1,3,"NS"
"OTU1622",3,2.156,1,4,"NS"
"OTU3826",7,5.084,3,8,"NS"
"OTU1722",20,6.264,3.475,9,"Generalists"
"OTU2047",9,8.048,5,12,"NS"
"OTU2242",2,6.754,4,10,"Specialists"
"OTU6960",4,2.114,1,4,"NS"
"OTU12895",2,1.726,1,3,"NS"
"OTU1423",3,1.712,1,3,"NS"
"OTU696",6,25.2,19,32,"Specialists"
"OTU66",26,52.312,45,60,"Specialists"
"OTU676",16,24.17,18,31,"Specialists"
"OTU730",14,14.198,9.475,19,"NS"
"OTU1666",12,8.682,5,13,"NS"
"OTU441",13,6.146,3,9,"Generalists"
"OTU842",1,1.978,1,3,"NS"
"OTU2163",7,4.32,2,7,"NS"
"OTU2915",3,9.108,5.475,13,"Specialists"
"OTU1607",3,4.214,2,7,"NS"
"OTU1924",2,1.446,1,2,"NS"
"OTU1226",1,31.816,26,38,"Specialists"
"OTU612",17,25.378,20,32,"Specialists"
"OTU349",5,10.262,6,14,"Specialists"
"OTU1679",11,5.336,3,8,"Generalists"
"OTU1148",3,2.006,1,3,"NS"
"OTU9733",1,2.194,1,4,"NS"
"OTU2154",2,8.95,5,13,"Specialists"
"OTU8690",5,2.906,1,5,"NS"
"OTU80",4,18.05,13,23,"Specialists"
"OTU1185",3,1.996,1,3,"NS"
"OTU576",2,1.418,1,2,"NS"
"OTU1182",4,18.73,14,24,"Specialists"
"OTU7273",3,1.958,1,3,"NS"
"OTU2210",1,1.428,1,2,"NS"
"OTU8229",2,2.004,1,4,"NS"
"OTU2149",9,4.848,2.475,7,"Generalists"
"OTU323",1,1.406,1,2,"NS"
"OTU124",4,2.48,1,4,"NS"
"OTU8287",1,2.94,1,5,"NS"
"OTU309",48,30.02,24,37.525,"Generalists"
"OTU4461",4,6.362,3.475,9,"NS"
"OTU4224",2,1.422,1,2,"NS"
"OTU7918",2,2.272,1,4,"NS"
"OTU185",2,22.872,17,29,"Specialists"
"OTU3675",2,1.438,1,2,"NS"
"OTU2133",4,11.252,7,16,"Specialists"
"OTU593",5,28.526,22,35,"Specialists"
"OTU47",9,4.25,2,6.52499999999998,"Generalists"
"OTU10353",7,3.324,1,6,"Generalists"
"OTU343",2,17.206,12,23,"Specialists"
"OTU1597",6,4.438,2,7,"NS"
"OTU1550",3,2.978,1,5,"NS"
"OTU8088",1,1.428,1,2,"NS"
"OTU853",10,8.036,5,12,"NS"
"OTU6458",2,2.58,1,4,"NS"
"OTU86",11,45.056,38,52,"Specialists"
"OTU4105",6,8.286,5,12,"NS"
"OTU7599",2,1.974,1,3,"NS"
"OTU2279",2,4.614,2,7,"NS"
"OTU2846",3,2.27,1,4,"NS"
"OTU11386",2,4.076,2,7,"NS"
"OTU350",1,29.47,23,36,"Specialists"
"OTU155",1,1.45,1,2,"NS"
"OTU77",5,2.71,1,5,"NS"
"OTU9345",2,1.442,1,2,"NS"
"OTU4875",11,4.342,2,7,"Generalists"
"OTU335",5,25.768,19,33,"Specialists"
"OTU2261",1,10.606,7,15,"Specialists"
"OTU2616",14,6.598,4,10,"Generalists"
"OTU12395",2,3.072,1,5,"NS"
"OTU2172",1,11.968,8,16.525,"Specialists"
"OTU948",2,2.3,1,4,"NS"
"OTU8870",20,15.074,10,20,"NS"
"OTU855",3,26.26,20,33,"Specialists"
"OTU3985",1,6.098,3,9,"Specialists"
"OTU958",3,3.592,2,6,"NS"
"OTU151",5,44.626,38,52,"Specialists"
"OTU172",8,50.776,43.475,58,"Specialists"
"OTU3278",1,4.36,2,7,"Specialists"
"OTU12932",3,1.712,1,3,"NS"
"OTU1549",3,9.502,6,14,"Specialists"
"OTU770",9,10.394,7,15,"NS"
"OTU8659",3,1.758,1,3,"NS"
"OTU11585",3,22.916,17,29,"Specialists"
"OTU12937",1,1.47,1,2,"NS"
"OTU5622",4,5.568,3,8.52499999999998,"NS"
"OTU1186",11,19.834,14.475,26,"Specialists"
"OTU2839",1,2.15,1,4,"NS"
"OTU7868",12,5.154,3,8,"Generalists"
"OTU2604",16,5.264,3,8,"Generalists"
"OTU1247",2,2.37,1,4,"NS"
"OTU2772",11,5.96,3,9,"Generalists"
"OTU3256",11,5.874,3,9,"Generalists"
"OTU2155",18,6.668,4,10,"Generalists"
"OTU6490",4,2.32,1,4,"NS"
"OTU5472",2,2.87,1,5,"NS"
"OTU6262",5,2.178,1,4,"Generalists"
"OTU2082",1,2.38,1,4,"NS"
"OTU13010",3,1.698,1,3,"NS"
"OTU425",2,2.296,1,4,"NS"
"OTU11931",6,2.668,1,4,"Generalists"
"OTU10670",4,2.35,1,4,"NS"
"OTU960",3,1.74,1,3,"NS"
"OTU735",27,17.984,13,23,"Generalists"
"OTU95",3,2.31,1,4,"NS"
"OTU333",5,10.312,6.475,15,"Specialists"
"OTU4364",4,3.122,1,5,"NS"
"OTU1278",5,7.94,5,12,"NS"
"OTU144",2,16.084,11.475,22,"Specialists"
"OTU2233",7,6.74,4,10,"NS"
"OTU1032",3,5.422,3,8,"NS"
"OTU2857",5,2.132,1,4,"Generalists"
"OTU11610",11,5.634,3,9,"Generalists"
"OTU3802",15,6.348,3,10,"Generalists"
"OTU1838",6,12.064,8,17,"Specialists"
"OTU4430",2,1.42,1,2,"NS"
"OTU683",1,1.462,1,2,"NS"
"OTU1819",1,25.688,20,32,"Specialists"
"OTU415",2,4.218,2,7,"NS"
