X16S_ID,Observed,beta_div_metacomm_mean,abund_null_dev_stoch,abund_null_dev_det,Domain,Grass
X1351_1738,1119,0.601164664,-0.207138634,-0.083359017,Bacteria,BUDA
X1351_1725,715,0.648447123,-0.159856174,-0.036076557,Bacteria,BUDA
X1351_1726,839,0.60560159,-0.202701708,-0.078922091,Bacteria,BUDA
X1351_1727,1121,0.571507845,-0.236795453,-0.113015836,Bacteria,BUDA
X1351_1730,905,0.604657661,-0.203645637,-0.07986602,Bacteria,BUDA
X1351_1731,997,0.573908491,-0.234394807,-0.110615189,Bacteria,BUDA
X1351_1732,931,0.641765171,-0.166538127,-0.04275851,Bacteria,BUDA
X1351_1733,1090,0.568565791,-0.239737507,-0.115957889,Bacteria,BUDA
X1351_1734,1066,0.592578554,-0.215724743,-0.091945126,Bacteria,BUDA
X1351_1735,1058,0.576350624,-0.231952673,-0.108173056,Bacteria,BUDA
X1351_1674,1338,0.586272951,-0.222030347,-0.09825073,Bacteria,BUDA
X1351_1675,1197,0.578429833,-0.229873465,-0.106093847,Bacteria,BUDA
X1351_1676,1487,0.619576128,-0.18872717,-0.064947553,Bacteria,BUDA
X1351_1665,1304,0.553455785,-0.254847512,-0.131067895,Bacteria,BUDA
X1351_1666,1649,0.5749826,-0.233320698,-0.109541081,Bacteria,BUDA
X1351_1667,1390,0.61035352,-0.197949778,-0.074170161,Bacteria,BUDA
X1351_1668,1348,0.624536324,-0.183766973,-0.059987356,Bacteria,BUDA
X1351_1669,1247,0.582833195,-0.225470102,-0.101690485,Bacteria,BUDA
X1351_1670,1162,0.588525418,-0.219777879,-0.095998262,Bacteria,BUDA
X1351_1671,1397,0.558274273,-0.250029025,-0.126249407,Bacteria,BUDA
X1351_1672,1168,0.639346108,-0.168957189,-0.045177572,Bacteria,BUDA
X1351_1673,877,0.613438709,-0.194864589,-0.071084972,Bacteria,BUDA
X1351_1573,1494,0.622130554,-0.186172744,-0.062393127,Bacteria,BUDA
X1351_1574,1367,0.589542366,-0.218760931,-0.094981314,Bacteria,BUDA
X1351_1575,1438,0.607537594,-0.200765703,-0.076986086,Bacteria,BUDA
X1351_1564,1489,0.593432694,-0.214870603,-0.091090986,Bacteria,BUDA
X1351_1565,1423,0.612651757,-0.195651541,-0.071871924,Bacteria,BUDA
X1351_1566,1443,0.574141453,-0.234161844,-0.110382227,Bacteria,BUDA
X1351_1567,1052,0.621201126,-0.187102171,-0.063322554,Bacteria,BUDA
X1351_1568,1263,0.544157914,-0.264145383,-0.140365766,Bacteria,BUDA
X1351_1569,1440,0.586859139,-0.221444159,-0.097664541,Bacteria,BUDA
X1351_1570,1495,0.687523454,-0.120779843,0.002999774,Bacteria,BUDA
X1351_1571,1417,0.679603075,-0.128700223,-0.004920606,Bacteria,BUDA
X1351_1572,1489,0.604766482,-0.203536816,-0.079757198,Bacteria,BUDA
X1351_1840,1089,0.558645319,-0.249657979,-0.125878362,Bacteria,BUDA
X1351_1841,1281,0.606382002,-0.201921295,-0.078141678,Bacteria,BUDA
X1351_1842,1132,0.577868664,-0.230434634,-0.106655017,Bacteria,BUDA
X1351_1831,1250,0.564103544,-0.244199753,-0.120420136,Bacteria,BUDA
X1351_1832,1032,0.592790963,-0.215512334,-0.091732717,Bacteria,BUDA
X1351_1833,986,0.567401711,-0.240901587,-0.11712197,Bacteria,BUDA
X1351_1834,1198,0.559217766,-0.249085531,-0.125305914,Bacteria,BUDA
