"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU62",28,6.38,3,9,"Generalists"
"OTU9896",18,7.05,4,10.525,"Generalists"
"OTU1572",16,26.04,20,33.525,"Specialists"
"OTU4107",125,48.98,41,56.525,"Generalists"
"OTU1562",6,20.05,14.475,26.525,"Specialists"
"OTU12247",40,7.34,5,10.525,"Generalists"
"OTU6573",14,11.68,7.475,15,"NS"
"OTU9368",7,10.05,6,14,"NS"
"OTU671",27,30.06,23.95,36.525,"NS"
"OTU5652",58,14.22,9.475,19,"Generalists"
"OTU12423",50,10.38,7,15,"Generalists"
"OTU1231",106,54.64,47,64.525,"Generalists"
"OTU756",17,7.77,5,11,"Generalists"
"OTU103",58,9.45,6,13.525,"Generalists"
"OTU6951",4,14.87,10,20,"Specialists"
"OTU106",24,11.98,8,16,"Generalists"
"OTU55",6,3.66,2,6,"NS"
"OTU97",20,5.22,3,8,"Generalists"
"OTU7090",33,15.88,11.475,21,"Generalists"
"OTU6337",30,13.19,9.475,17.525,"Generalists"
"OTU10535",58,13.66,9,19,"Generalists"
"OTU5463",5,29,22,35.525,"Specialists"
"OTU556",6,2.82,1,5,"Generalists"
"OTU150",19,77.04,67.425,86.525,"Specialists"
"OTU6166",1,3.09,1,5,"NS"
"OTU8521",7,10.29,7,15,"NS"
"OTU3329",1,7.17,4,10.525,"Specialists"
"OTU208",37,33.89,26.475,42,"NS"
"OTU273",4,3.02,1.475,5,"NS"
"OTU10013",14,16.66,12,23,"NS"
"OTU1033",24,45.81,37.475,55.525,"Specialists"
"OTU171",29,115.96,103,131.525,"Specialists"
"OTU7039",2,33.23,26.95,41,"Specialists"
"OTU5834",10,4.24,2,6,"Generalists"
"OTU630",3,42.17,34,50.525,"Specialists"
"OTU866",15,20.83,14.95,26,"NS"
"OTU8616",18,15.98,11,22,"NS"
"OTU11641",1,1.5,1,2,"NS"
